Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Jumping rope,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-7s-jumping-rope-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-7s-jumping-rope-m2-16x9.jpg']"
Seated barbell shoulder press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Barbell,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48e-seated-barbell-shoulder-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48e-seated-barbell-shoulder-press-m2-16x9.jpg']"
EZ-bar spider curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Barbell,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18n-barbell-spider-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18n-barbell-spider-curl-m2-16x9.jpg']"
Smith machine shrug,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Traps,Machine,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-alt-14t-smith-machine-shrug-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-alt-14t-smith-machine-shrug-m2-16x9.jpg']"
Smith Machine Calf Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Calves,Machine,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-33t-smith-machine-standing-calf-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-33t-smith-machine-standing-calf-raise-m2-16x9.jpg']"
Romanian Deadlift from Deficit,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Barbell,Average,9.2,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/751/Male/l/751_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/751/Male/l/751_2.jpg']"
Power Snatch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Barbell,Average,9.2,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/703/Male/l/703_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/703/Male/l/703_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/703/Male/l/703_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/703/Male/l/703_4.jpg']"
Pushups,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Body Only,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-102a-push-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-102a-push-up-m2-16x9.jpg']"
Barbell walking lunge,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-45b-barbell-walking-lunge-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-45b-barbell-walking-lunge-m2-16x9.jpg']"
Front Squats With Two Kettlebells,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Kettlebells,Average,9.2,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/l/511_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/l/511_2.jpg']"
Spider crawl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,9.2,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-197a-spider-crawl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-197a-spider-crawl-m4-16x9.jpg']"
Power Clean from Blocks,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Hamstrings,Barbell,Average,9.2,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/748/Male/l/748_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/748/Male/l/748_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/748/Male/l/748_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/748/Male/l/748_4.jpg']"
Single Leg Push-off,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Other,Average,9.2,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/l/818_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/l/818_2.jpg']"
Hip Circles (Prone),"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abductors,Body Only,Average,9.2,"['https://www.bodybuilding.com/images/2020/may/874_1l.jpg', 'https://www.bodybuilding.com/images/2020/may/874_2l.jpg', 'https://www.bodybuilding.com/images/2020/may/874_3l.jpg']"
